,img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,franchise
4931,/games/boxart/7750345ccc.jpg,Klonoa 2: Lunatea's Veil,PS2,Platform,Namco,Namco,9.4,0.33,0.12,0.08,0.1,0.03,7/25/2001,7/25/2001,Klonoa
3562,/games/boxart/full_4254357AmericaFrontccc.jpg,Knack 2,PS4,Platform,Sony Interactive Entertainment,SIE Japan Studio,6.7,0.47,0.14,0.01,0.25,0.07,09/05/2017,9/23/2018,Knack
8168,/games/boxart/full_13658AmericaFrontccc.jpg,Konami Krazy Racers,GBA,Racing,Konami,KCEK,7.7,0.16,0.09,0.04,0.03,0,06/10/2001,06/10/01,Konami Krazy Racers
7042,/games/boxart/full_kung-fu-rider_6AmericaFront.jpg,Kung Fu Rider,PS3,Action,Sony Computer Entertainment,SCE Japan Studio,4.3,0.2,0.06,0.01,0.1,0.04,9/17/2010,9/16/2018,Kung Fu Rider
231,/games/boxart/full_la-noire_75AmericaFront.jpg,L.A. Noire,PS3,Adventure,Rockstar Games,Team Bondi,9.1,3.21,1.29,0.12,1.31,0.49,11/15/2011,11/15/2011,L.A. Noire
307,/games/boxart/full_la-noire_47AmericaFront.jpg,L.A. Noire,X360,Adventure,Rockstar Games,Team Bondi,9.1,2.73,1.55,0.02,0.92,0.24,11/15/2011,11/15/2011,L.A. Noire
3274,/games/boxart/full_9360209AmericaFrontccc.jpg,Lair,PS3,Action,Sony Computer Entertainment,Factor 5,5.5,0.51,0.36,0.08,0.04,0.04,8/30/2007,8/30/2007,Lair
10793,/games/boxart/full_2224060AmericaFrontccc.jpg,Last Rebellion,PS3,Role-Playing,NIS America,Hit Maker,4.8,0.09,0.06,0.01,0.01,0.01,2/23/2010,2/23/2010,Last Rebellion
2127,/games/boxart/full_3418444AmericaFrontccc.jpg,LEGO City Undercover,PS4,Platform,Warner Bros. Interactive Entertainment,TT Fusion,8,0.75,0.17,0.01,0.46,0.12,04/04/2017,5/24/2018,LEGO
2489,/games/boxart/full_3260020AmericaFrontccc.jpg,LEGO City Undercover,NS,Platform,Warner Bros. Interactive Entertainment,TT Fusion,8,0.65,0.23,0.03,0.33,0.05,04/04/2017,2/24/2018,LEGO
315,/games/boxart/full_4362003AmericaFrontccc.jpg,LEGO Star Wars II: The Original Trilogy,PS2,Action,LucasArts,Traveller's Tales,8.4,2.69,1.85,0.01,0.64,0.19,09/12/2006,09/12/06,LEGO
194,/games/boxart/full_6469736AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales,7.9,3.53,1.98,0.01,1.14,0.41,04/02/2005,04/02/05,LEGO
2564,/games/boxart/full_7778097AmericaFrontccc.jpg,LEGO The Incredibles,NS,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,0.63,0.35,0.01,0.21,0.06,6/15/2018,11/06/18,LEGO
2839,/games/boxart/full_3855340AmericaFrontccc.png,LEGO Worlds,NS,Misc,Warner Bros. Interactive Entertainment,Traveller's Tales,5,0.58,0.21,0,0.33,0.04,09/05/2017,2/25/2018,LEGO
7722,/games/boxart/full_4184198AmericaFrontccc.jpg,Let's TAP,Wii,Misc,Sega,PROPE,7,0.17,0.08,0.01,0.06,0.02,6/16/2009,6/16/2009,Let's TAP
6610,/games/boxart/full_8558017AmericaFrontccc.jpg,Life Is Strange: Before the Storm,PS4,Adventure,Square Enix,Deck Nine,7.5,0.22,0.11,0.02,0.06,0.03,03/06/2018,07/09/18,Life Is Strange
1321,/games/boxart/full_8372723AmericaFrontccc.jpg,Lightning Returns: Final Fantasy XIII,PS3,Misc,Square Enix,Unknown,7.1,1.09,0.31,0.45,0.22,0.11,02/11/2014,02/11/14,Final Fantasy
5714,/games/boxart/full_8611429AmericaFrontccc.jpg,Lightning Returns: Final Fantasy XIII,X360,Misc,Square Enix,Unknown,6.4,0.27,0.15,0.01,0.08,0.02,02/11/2014,02/11/14,Final Fantasy
336,/games/boxart/full_9186411AmericaFrontccc.jpg,LittleBigPlanet,PSP,Platform,Sony Computer Entertainment,SCEE Cambridge,8.8,2.61,0.65,0.01,1.27,0.68,11/17/2009,12/03/18,LittleBigPlanet (Series)
208,/games/boxart/full_littlebigplanet-2_308AmericaFront.jpg,LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,Media Molecule,9.1,3.43,1.83,0.06,1.07,0.47,1/18/2011,1/18/2011,LittleBigPlanet (Series)
4264,/games/boxart/full_9388379AmericaFrontccc.jpg,LocoRoco,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8.1,0.39,0.14,0.16,0.05,0.03,09/05/2006,9/17/2018,LocoRoco
4578,/games/boxart/full_890773AmericaFrontccc.jpg,LocoRoco 2,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8.5,0.36,0.21,0.01,0.09,0.05,02/10/2009,9/17/2018,LocoRoco
4788,/games/boxart/full_lord-of-arcana_532AmericaFront.jpg,Lord of Arcana,PSP,Role-Playing,Square Enix,Square Enix,4.7,0.34,0.08,0.17,0.05,0.04,1/25/2011,1/25/2011,Lord of Arcana
9306,/games/boxart/full_lost-in-shadow_6AmericaFront.jpg,Lost in Shadow,Wii,Platform,Hudson Soft,Hudson Soft,6.7,0.12,0.09,0.01,0,0.01,01/04/2011,01/04/11,Lost in Shadow
7855,/games/boxart/full_624525AmericaFrontccc.jpg,Lost Kingdoms,GC,Role-Playing,Activision,From Software,7.3,0.17,0.1,0.04,0.02,0,5/27/2002,5/27/2002,Lost Kingdoms
1699,/games/boxart/206111ccc.jpg,Lost Odyssey,X360,Role-Playing,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,7.5,0.9,0.45,0.11,0.26,0.08,02/12/2008,02/12/08,Lost Odyssey
1584,/games/boxart/full_3247411AmericaFrontccc.jpg,Lost Planet 2,PS3,Shooter,Capcom,Capcom,6.6,0.95,0.29,0.2,0.34,0.12,05/11/2010,05/11/10,Lost Planet
2082,/games/boxart/full_4943807AmericaFrontccc.jpg,Lost Planet 2,X360,Shooter,Capcom,Capcom,6.5,0.76,0.38,0.08,0.24,0.06,05/11/2010,05/11/10,Lost Planet
2538,/games/boxart/2925885ccc.jpg,Lost Planet: Extreme Condition,PS3,Shooter,Capcom,Capcom,6.3,0.64,0.31,0.07,0.17,0.08,2/26/2008,2/26/2008,Lost Planet
3592,/games/boxart/full_5589614AmericaFrontccc.jpg,Luigi's Mansion,3DS,Adventure,Nintendo,GREZZO,7.3,0.47,0.19,0.09,0.16,0.03,10/12/2018,08/03/20,Luigi's Mansion
6348,/games/boxart/full_7046563AmericaFrontccc.jpg,Luminous Arc,DS,Role-Playing,Atlus,imageepoch Inc.,6.8,0.24,0.16,0.06,0,0.01,8/14/2007,8/14/2007,Luminous Arc
6554,/games/boxart/full_2057209AmericaFrontccc.jpg,Lunar Knights,DS,Role-Playing,Konami,Kojima Productions,8.2,0.23,0.17,0.04,0.01,0.01,02/06/2007,02/06/07,Lunar
3049,/games/boxart/full_9762662AmericaFrontccc.jpg,Lunar: Silver Star Story Complete,PS,Role-Playing,Working Designs,Game Arts,7.6,0.55,0.27,0.06,0.18,0.04,5/28/1999,5/28/1999,Lunar
94,/games/boxart/full_727567AmericaFrontccc.jpg,Madden NFL 06,PS2,Sports,EA Sports,EA Tiburon,9.1,4.91,3.98,0.01,0.26,0.66,08/08/2005,08/08/05,Madden
2804,/games/boxart/full_2326979AmericaFrontccc.jpg,Madden NFL 06,X360,Sports,EA Sports,EA Tiburon,7.7,0.59,0.54,0.01,0,0.03,11/16/2005,11/16/2005,Madden
569,/games/boxart/full_6736771AmericaFrontccc.jpg,Madden NFL 09,PS3,Sports,EA Sports,EA Tiburon,8.6,1.89,1.56,0,0.15,0.18,08/12/2008,08/12/08,Madden
139,/games/boxart/32121ccc.jpg,Madden NFL 2003,PS2,Sports,EA Sports,EA Tiburon,9.4,4.14,3.36,0.01,0.21,0.56,08/12/2002,08/12/02,Madden
75,/games/boxart/1473680ccc.jpg,Madden NFL 2004,PS2,Sports,EA Sports,EA Tiburon,9.5,5.23,4.26,0.01,0.26,0.71,08/12/2003,08/12/03,Madden
114,/games/boxart/4564394ccc.jpg,Madden NFL 2005,PS2,Sports,EA Sports,EA Tiburon,9.5,4.53,4.18,0.01,0.26,0.08,08/09/2004,08/09/04,Madden
2015,/games/boxart/full_4296430AmericaFrontccc.jpg,MadWorld,Wii,Action,Sega,PlatinumGames,8.1,0.78,0.45,0.02,0.24,0.07,03/10/2009,03/10/09,MadWorld
